numero,Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,Planta,Fruto,Incidencia,Severidad%
1,0,26,81,22,0,1,189,1,1,0,0
2,0,26,81,22,0,1,189,1,2,0,0
3,0,26,81,22,0,1,189,1,3,0,0
4,0,26,81,22,0,1,189,1,4,0,0
5,0,26,81,22,0,1,189,1,5,0,0
6,0,26,81,22,0,1,189,1,6,0,0
7,0,26,81,22,0,1,189,1,7,0,0
8,0,26,81,22,0,1,189,1,8,0,0
9,0,26,81,22,0,1,189,1,9,0,0
10,0,26,81,22,0,1,189,1,10,0,0
11,0,26,81,22,0,1,189,2,1,0,0
12,0,26,81,22,0,1,189,2,2,1,45
13,0,26,81,22,0,1,189,2,3,0,0
14,0,26,81,22,0,1,189,2,4,0,0
15,0,26,81,22,0,1,189,2,5,1,40
16,0,26,81,22,0,1,189,2,6,1,75
17,0,26,81,22,0,1,189,2,7,0,0
18,0,26,81,22,0,1,189,2,8,0,0
19,0,26,81,22,0,1,189,2,9,0,0
20,0,26,81,22,0,1,189,2,10,0,0
21,0,26,81,22,0,1,189,3,1,0,0
22,0,26,81,22,0,1,189,3,2,0,0
23,0,26,81,22,0,1,189,3,3,0,0
24,0,26,81,22,0,1,189,3,4,0,0
25,0,26,81,22,0,1,189,3,5,0,0
26,0,26,81,22,0,1,189,3,6,0,0
27,0,26,81,22,0,1,189,3,7,0,0
28,0,26,81,22,0,1,189,3,8,0,0
29,0,26,81,22,0,1,189,3,9,1,70
30,0,26,81,22,0,1,189,3,10,0,0
31,0,26,81,22,0,1,189,4,1,0,0
32,0,26,81,22,0,1,189,4,2,0,0
33,0,26,81,22,0,1,189,4,3,0,0
34,0,26,81,22,0,1,189,4,4,0,0
35,0,26,81,22,0,1,189,4,5,1,70
36,0,26,81,22,0,1,189,4,6,0,0
37,0,26,81,22,0,1,189,4,7,0,0
38,0,26,81,22,0,1,189,4,8,0,0
39,0,26,81,22,0,1,189,4,9,0,0
40,0,26,81,22,0,1,189,4,10,0,0
41,0,26,81,22,0,1,189,5,1,0,0
42,0,26,81,22,0,1,189,5,2,0,0
43,0,26,81,22,0,1,189,5,3,1,40
44,0,26,81,22,0,1,189,5,4,0,0
45,0,26,81,22,0,1,189,5,5,0,0
46,0,26,81,22,0,1,189,5,6,0,0
47,0,26,81,22,0,1,189,5,7,1,60
48,0,26,81,22,0,1,189,5,8,0,0
49,0,26,81,22,0,1,189,5,9,1,70
50,0,26,81,22,0,1,189,5,10,0,0
51,0,26,81,22,0,1,189,6,1,0,0
52,0,26,81,22,0,1,189,6,2,0,0
53,0,26,81,22,0,1,189,6,3,0,0
54,0,26,81,22,0,1,189,6,4,0,0
55,0,26,81,22,0,1,189,6,5,0,0
56,0,26,81,22,0,1,189,6,6,0,0
57,0,26,81,22,0,1,189,6,7,0,0
58,0,26,81,22,0,1,189,6,8,0,0
59,0,26,81,22,0,1,189,6,9,1,40
60,0,26,81,22,0,1,189,6,10,1,30
61,0,26,81,22,0,1,189,7,1,0,0
62,0,26,81,22,0,1,189,7,2,0,0
63,0,26,81,22,0,1,189,7,3,0,0
64,0,26,81,22,0,1,189,7,4,0,0
65,0,26,81,22,0,1,189,7,5,0,0
66,0,26,81,22,0,1,189,7,6,0,0
67,0,26,81,22,0,1,189,7,7,0,0
68,0,26,81,22,0,1,189,7,8,0,0
69,0,26,81,22,0,1,189,7,9,0,0
70,0,26,81,22,0,1,189,7,10,0,0
71,0,26,81,22,0,1,189,8,1,0,0
72,0,26,81,22,0,1,189,8,2,0,0
73,0,26,81,22,0,1,189,8,3,1,50
74,0,26,81,22,0,1,189,8,4,0,0
75,0,26,81,22,0,1,189,8,5,0,0
76,0,26,81,22,0,1,189,8,6,0,0
77,0,26,81,22,0,1,189,8,7,0,0
78,0,26,81,22,0,1,189,8,8,0,0
79,0,26,81,22,0,1,189,8,9,0,0
80,0,26,81,22,0,1,189,8,10,0,0
81,0,26,81,22,0,1,189,9,1,0,0
82,0,26,81,22,0,1,189,9,2,0,0
83,0,26,81,22,0,1,189,9,3,0,0
84,0,26,81,22,0,1,189,9,4,0,0
85,0,26,81,22,0,1,189,9,5,0,0
86,0,26,81,22,0,1,189,9,6,0,0
87,0,26,81,22,0,1,189,9,7,0,0
88,0,26,81,22,0,1,189,9,8,0,0
89,0,26,81,22,0,1,189,9,9,1,40
90,0,26,81,22,0,1,189,9,10,0,0
91,0,26,81,22,0,1,189,10,1,0,0
92,0,26,81,22,0,1,189,10,2,0,0
93,0,26,81,22,0,1,189,10,3,0,0
94,0,26,81,22,0,1,189,10,4,0,0
95,0,26,81,22,0,1,189,10,5,0,0
96,0,26,81,22,0,1,189,10,6,0,0
97,0,26,81,22,0,1,189,10,7,0,0
98,0,26,81,22,0,1,189,10,8,1,65
99,0,26,81,22,0,1,189,10,9,0,0
100,0,26,81,22,0,1,189,10,10,0,0
